scientificName,size,lifestyle,median_temp,temp_category
Protanthea simplex,0,0,10.3286,Medium
Sabella pavonina,0,0,11.17657,High
Geodia barretti,1,0,5.19208,Low
Mycale lingua,1,0,5.59036,Low
Polycarpa pomaria,0,0,11.35831,High
Serpulidae,0,0,10.8439,Medium
Molgula,0,0,11.40404,High
Ascidia,0,0,11.2203,High
Ciona intestinalis,0,0,11.22109,High
Porania pulvillus,1,1,9.77555,Medium
Acesta excavata,1,0,7.59229,Low
Actiniidae,1,0,10.31813,Medium
Munida,0,1,9.63215,Medium
Phakellia ventilabrum,1,0,9.59328,Medium
Lithodes maja,1,1,5.7125,Low
Caryophyllia smithii,0,0,11.04396,High
Alcyonium digitatum,1,0,11.21731,High
